GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-10213.6272,-84532.5168,-13894.0977,227.060741,-94746.144,-13667.036959000001,-108413.180959
1,-10213.1769,-84596.3543,-13762.6903,230.9400085,-94809.53120000001,-13531.7502915,-108341.28149150002
2,-10151.2824,-84065.3181,-14229.1218,231.4337685,-94216.6005,-13997.688031500002,-108214.28853149999
3,-10218.2132,-83736.9996,-14583.4021,231.16475450000002,-93955.2128,-14352.2373455,-108307.45014549998
4,-10238.3651,-84108.4972,-14287.2666,227.166178,-94346.8623,-14060.100422000001,-108406.962722
5,-10177.6944,-83903.0951,-14557.7732,229.38094949999999,-94080.78950000001,-14328.3922505,-108409.1817505
6,-10145.8054,-83874.4716,-14580.1468,231.2979205,-94020.277,-14348.848879500001,-108369.1258795
7,-10227.7018,-84226.4168,-14197.8851,231.09804,-94454.1186,-13966.787059999999,-108420.90566
8,-10258.0988,-84435.3174,-14130.7844,225.5118205,-94693.4162,-13905.2725795,-108598.68877950001
9,-10124.8324,-84373.7056,-14273.9904,234.41462950000002,-94498.538,-14039.575770500001,-108538.1137705
10,-10155.2219,-84651.8988,-13959.9885,233.917694,-94807.1207,-13726.070806,-108533.191506
11,-10200.7537,-84311.441,-14300.9094,234.1907545,-94512.19470000001,-14066.718645500001,-108578.91334550001
12,-10202.3844,-83776.0233,-14659.7959,233.48092150000002,-93978.4077,-14426.314978499999,-108404.7226785
13,-10202.1995,-83982.0922,-14357.11,235.4858915,-94184.2917,-14121.6241085,-108305.91580850001
14,-10206.0938,-84018.054,-14520.4405,234.44836200000003,-94224.1478,-14285.992138000001,-108510.13993800001
15,-10202.1521,-83662.6957,-14720.9266,234.5462125,-93864.84779999999,-14486.380387500001,-108351.22818749999
16,-10174.1858,-83949.4305,-14566.5446,233.6800825,-94123.6163,-14332.8645175,-108456.48081749999
17,-10195.09,-84122.5891,-14322.5953,232.75919900000002,-94317.6791,-14089.836101,-108407.515201
18,-10126.9467,-83518.0713,-14714.4944,236.639027,-93645.018,-14477.855373,-108122.873373
19,-10147.1932,-84256.6511,-14180.2207,231.75877450000002,-94403.8443,-13948.4619255,-108352.3062255
20,-10095.1955,-84130.9368,-14366.1947,235.66712049999998,-94226.1323,-14130.5275795,-108356.65987949999
21,-10209.322,-83776.3397,-14543.7523,236.0973015,-93985.6617,-14307.6549985,-108293.31669849998
22,-10243.3033,-84031.5736,-14386.7199,232.4363955,-94274.8769,-14154.2835045,-108429.1604045
23,-10180.1753,-84204.6863,-14309.3725,230.0784055,-94384.8616,-14079.2940945,-108464.1556945
24,-10195.0857,-84013.4828,-14212.7483,232.36743149999998,-94208.5685,-13980.380868499999,-108188.9493685
25,-10125.2183,-84649.7462,-13803.8991,231.402198,-94774.9645,-13572.496902,-108347.461402
26,-10065.7244,-83970.5058,-14562.6586,240.6060315,-94036.23019999999,-14322.052568500001,-108358.28276849998
27,-10126.4686,-84194.62,-14258.1603,235.6913065,-94321.08859999999,-14022.468993499999,-108343.5575935
28,-10085.8113,-84150.2932,-14309.2129,234.21766350000001,-94236.1045,-14074.9952365,-108311.0997365
29,-10124.585,-83936.0892,-14335.2369,232.58694400000002,-94060.67420000001,-14102.649956,-108163.32415600002
30,-10164.2868,-83957.5314,-14374.3632,235.4749985,-94121.81820000001,-14138.8882015,-108260.7064015
31,-10236.2836,-84083.2365,-14277.4011,232.1258425,-94319.5201,-14045.2752575,-108364.7953575
32,-10169.7794,-84133.5124,-14259.3252,233.06025150000002,-94303.2918,-14026.2649485,-108329.55674849999
33,-10235.3449,-84352.4463,-14137.7206,230.0235695,-94587.79119999999,-13907.697030500001,-108495.48823049999
34,-10214.9153,-83865.4579,-14365.1035,231.374581,-94080.3732,-14133.728919,-108214.102119
35,-10180.9517,-84191.9722,-13955.35,231.6386175,-94372.92390000001,-13723.7113825,-108096.63528250002
36,-10158.7189,-84206.1732,-14072.7592,232.6098605,-94364.8921,-13840.1493395,-108205.0414395
37,-10106.9697,-84176.0422,-14262.3148,235.3019365,-94283.0119,-14027.0128635,-108310.0247635
38,-10222.3127,-83861.1929,-14254.0774,235.0410325,-94083.50559999999,-14019.0363675,-108102.54196749999
39,-10130.5046,-84461.2528,-13963.5106,233.3875385,-94591.7574,-13730.1230615,-108321.8804615
40,-10146.0694,-84269.1352,-14169.8353,239.74060000000003,-94415.2046,-13930.094700000001,-108345.2993
41,-10108.7217,-84265.2933,-13974.3103,235.531501,-94374.015,-13738.778799,-108112.79379899999
42,-10198.0504,-84034.1397,-14112.0251,233.06912400000002,-94232.1901,-13878.955976000001,-108111.146076
43,-10136.4646,-83612.1054,-14602.8776,239.0412715,-93748.57,-14363.8363285,-108112.40632850002
44,-10174.4734,-83905.759,-14344.5161,236.647548,-94080.23240000001,-14107.868552,-108188.10095200002
45,-10158.1677,-84043.2146,-14277.8702,237.9549385,-94201.38230000001,-14039.9152615,-108241.29756150002

Receptor Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-10129.8072,-84731.2555,-13900.4742,230.0473175,-94861.0627,-13670.4268825,-108531.4895825
1,-10135.6586,-84770.1019,-13786.0642,233.9204815,-94905.76049999999,-13552.143718500001,-108457.9042185
2,-10067.4666,-84240.8207,-14253.5847,234.52222450000002,-94308.2873,-14019.062475499999,-108327.3497755
3,-10132.4913,-83913.7337,-14606.939,234.2198745,-94046.22499999999,-14372.7191255,-108418.94412549998
4,-10158.8799,-84305.5078,-14300.5463,230.1526005,-94464.3877,-14070.3936995,-108534.7813995
5,-10099.5714,-84086.1063,-14575.6897,232.4231115,-94185.6777,-14343.2665885,-108528.9442885
