POISSON BOLTZMANN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-10213.6272,-84532.5168,-13624.4682,226.4781,0.0,-94746.144,-13397.990099999999,-108144.13410000001
1,-10213.1769,-84596.3543,-13408.1601,226.7693,0.0,-94809.53120000001,-13181.3908,-107990.922
2,-10151.2824,-84065.3181,-13930.1338,229.7183,0.0,-94216.6005,-13700.4155,-107917.016
3,-10218.2132,-83736.9996,-14296.8268,227.2882,0.0,-93955.2128,-14069.5386,-108024.7514
4,-10238.3651,-84108.4972,-13946.2533,225.047,0.0,-94346.8623,-13721.2063,-108068.06859999998
5,-10177.6944,-83903.0951,-14207.2461,225.5361,0.0,-94080.78950000001,-13981.710000000001,-108062.49950000002
6,-10145.8054,-83874.4716,-14312.3902,228.5466,0.0,-94020.277,-14083.8436,-108104.1206
7,-10227.7018,-84226.4168,-13836.6628,227.3566,0.0,-94454.1186,-13609.3062,-108063.42480000001
8,-10258.0988,-84435.3174,-13786.5436,225.9359,0.0,-94693.4162,-13560.6077,-108254.02390000001
9,-10124.8324,-84373.7056,-13976.3606,230.2805,0.0,-94498.538,-13746.0801,-108244.6181
10,-10155.2219,-84651.8988,-13658.8123,228.9797,0.0,-94807.1207,-13429.8326,-108236.95330000001
11,-10200.7537,-84311.441,-13985.7966,228.6241,0.0,-94512.19470000001,-13757.1725,-108269.36720000001
12,-10202.3844,-83776.0233,-14327.1396,230.4845,0.0,-93978.4077,-14096.6551,-108075.06279999999
13,-10202.1995,-83982.0922,-14065.2098,230.5411,0.0,-94184.2917,-13834.6687,-108018.9604
14,-10206.0938,-84018.054,-14225.0619,230.4718,0.0,-94224.1478,-13994.590100000001,-108218.73790000001
15,-10202.1521,-83662.6957,-14443.8415,230.0971,0.0,-93864.84779999999,-14213.7444,-108078.59219999998
16,-10174.1858,-83949.4305,-14219.0373,231.4851,0.0,-94123.6163,-13987.5522,-108111.16849999999
17,-10195.09,-84122.5891,-14007.6205,229.9765,0.0,-94317.6791,-13777.644,-108095.3231
18,-10126.9467,-83518.0713,-14385.8013,231.3229,0.0,-93645.018,-14154.4784,-107799.4964
19,-10147.1932,-84256.6511,-13948.4562,229.7288,0.0,-94403.8443,-13718.7274,-108122.5717
20,-10095.1955,-84130.9368,-14117.4862,230.5469,0.0,-94226.1323,-13886.9393,-108113.0716
21,-10209.322,-83776.3397,-14271.3435,230.9008,0.0,-93985.6617,-14040.442700000001,-108026.1044
22,-10243.3033,-84031.5736,-14090.1523,229.4213,0.0,-94274.8769,-13860.731,-108135.6079
23,-10180.1753,-84204.6863,-13998.5221,226.7843,0.0,-94384.8616,-13771.7378,-108156.5994
24,-10195.0857,-84013.4828,-13899.1829,228.1324,0.0,-94208.5685,-13671.0505,-107879.61899999999
25,-10125.2183,-84649.7462,-13467.0989,226.095,0.0,-94774.9645,-13241.003900000002,-108015.9684
26,-10065.7244,-83970.5058,-14229.2374,235.7886,0.0,-94036.23019999999,-13993.4488,-108029.67899999999
27,-10126.4686,-84194.62,-13940.053,229.917,0.0,-94321.08859999999,-13710.136,-108031.22459999999
28,-10085.8113,-84150.2932,-14009.8175,227.3006,0.0,-94236.1045,-13782.516899999999,-108018.6214
29,-10124.585,-83936.0892,-14018.0326,228.887,0.0,-94060.67420000001,-13789.1456,-107849.81980000001
30,-10164.2868,-83957.5314,-14064.7632,232.5934,0.0,-94121.81820000001,-13832.1698,-107953.98800000001
31,-10236.2836,-84083.2365,-13964.407,228.7615,0.0,-94319.5201,-13735.645499999999,-108055.16560000001
32,-10169.7794,-84133.5124,-13977.7098,230.3564,0.0,-94303.2918,-13747.3534,-108050.6452
33,-10235.3449,-84352.4463,-13862.2651,229.0403,0.0,-94587.79119999999,-13633.2248,-108221.016
34,-10214.9153,-83865.4579,-14069.017,228.5391,0.0,-94080.3732,-13840.4779,-107920.8511
35,-10180.9517,-84191.9722,-13668.4998,227.0294,0.0,-94372.92390000001,-13441.4704,-107814.39430000001
36,-10158.7189,-84206.1732,-13751.5071,227.4352,0.0,-94364.8921,-13524.0719,-107888.96399999999
37,-10106.9697,-84176.0422,-13978.8146,230.7662,0.0,-94283.0119,-13748.0484,-108031.0603
38,-10222.3127,-83861.1929,-14006.8457,229.9116,0.0,-94083.50559999999,-13776.9341,-107860.43969999999
39,-10130.5046,-84461.2528,-13636.3126,228.6546,0.0,-94591.7574,-13407.658,-107999.41540000001
40,-10146.0694,-84269.1352,-13818.5364,231.1481,0.0,-94415.2046,-13587.3883,-108002.59289999999
41,-10108.7217,-84265.2933,-13673.8083,229.6246,0.0,-94374.015,-13444.183700000001,-107818.19870000001
42,-10198.0504,-84034.1397,-13779.0968,225.4222,0.0,-94232.1901,-13553.674599999998,-107785.8647
43,-10136.4646,-83612.1054,-14266.7928,231.5551,0.0,-93748.57,-14035.2377,-107783.8077
44,-10174.4734,-83905.759,-14064.8259,228.0434,0.0,-94080.23240000001,-13836.7825,-107917.01490000001
45,-10158.1677,-84043.2146,-13933.327,229.4248,0.0,-94201.38230000001,-13703.902199999999,-107905.28450000002

Receptor Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-10129.8072,-84731.2555,-13658.8771,228.2412,0.0,-94861.0627,-13430.6359,-108291.69859999999
1,-10135.6586,-84770.1019,-13453.9655,228.5783,0.0,-94905.76049999999,-13225.387200000001,-108131.1477
2,-10067.4666,-84240.8207,-13973.0988,231.3977,0.0,-94308.2873,-13741.7011,-108049.9884
3,-10132.4913,-83913.7337,-14333.2918,228.9094,0.0,-94046.22499999999,-14104.3824,-108150.6074
4,-10158.8799,-84305.5078,-13983.0316,226.8135,0.0,-94464.3877,-13756.2181,-108220.6058
5,-10099.5714,-84086.1063,-14241.2428,227.3251,0.0,-94185.6777,-14013.9177,-108199.5954
6,-10064.8097,-84062.262,-14354.5298,230.3303,0.0,-94127.0717,-14124.1995,-108251.2712
7,-10149.1416,-84438.6554,-13869.9811,229.1467,0.0,-94587.797,-13640.834400000002,-108228.63140000001
8,-10179.0645,-84616.59,-13826.0152,227.7386,0.0,-94795.6545,-13598.2766,-108393.9311
9,-10049.0384,-84550.683,-14016.9895,232.0763,0.0,-94599.72140000001,-13784.913199999999,-108384.6346
10,-10078.3549,-84829.0148,-13703.4142,230.8285,0.0,-94907.36970000001,-13472.5857,-108379.9554
11,-10120.6643,-84495.5666,-14024.8115,230.4177,0.0,-94616.23090000001,-13794.3938,-108410.6247
12,-10121.9979,-83955.8824,-14371.8709,232.2412,0.0,-94077.8803,-14139.6297,-108217.51
13,-10119.4799,-84168.7117,-14104.1642,232.2193,0.0,-94288.1916,-13871.944899999999,-108160.13650000001
14,-10123.0061,-84202.1417,-14281.2299,232.1627,0.0,-94325.14779999999,-14049.0672,-108374.215
15,-10117.9071,-83840.3584,-14481.751,231.7945,0.0,-93958.2655,-14249.9565,-108208.222
16,-10095.8337,-84132.6527,-14266.2802,233.2175,0.0,-94228.48640000001,-14033.062699999999,-108261.5491
17,-10113.027,-84306.083,-14044.8569,231.7328,0.0,-94419.11,-13813.1241,-108232.2341
18,-10053.1123,-83689.2818,-14432.2622,233.0868,0.0,-93742.3941,-14199.1754,-107941.5695
19,-10073.4299,-84433.1194,-13994.4244,231.5274,0.0,-94506.5493,-13762.896999999999,-108269.4463
20,-10017.7771,-84313.6787,-14164.3951,232.2539,0.0,-94331.4558,-13932.1412,-108263.597
21,-10120.5283,-83956.9717,-14323.6331,232.5939,0.0,-94077.5,-14091.0392,-108168.5392
22,-10162.0978,-84207.4999,-14139.9446,230.9927,0.0,-94369.5977,-13908.9519,-108278.5496
23,-10103.1317,-84391.9142,-14041.7973,228.518,0.0,-94495.0459,-13813.2793,-108308.3252
24,-10115.1397,-84199.2035,-13942.2383,229.7421,0.0,-94314.3432,-13712.496200000001,-108026.8394
25,-10040.3185,-84833.3218,-13518.2145,227.917,0.0,-94873.6403,-13290.2975,-108163.9378
26,-9984.1534,-84164.915,-14277.5162,237.5703,0.0,-94149.06839999999,-14039.9459,-108189.01429999998
27,-10044.0709,-84397.0505,-13976.5861,231.699,0.0,-94441.1214,-13744.8871,-108186.00850000001
28,-10006.9181,-84335.7116,-14044.5936,229.2008,0.0,-94342.62969999999,-13815.3928,-108158.02249999998
29,-10038.688,-84140.7315,-14054.1724,230.5239,0.0,-94179.41949999999,-13823.6485,-108003.06799999998
30,-10075.7695,-84167.6793,-14104.9194,234.333,0.0,-94243.4488,-13870.5864,-108114.0352
31,-10153.2182,-84278.8739,-14004.5577,230.5657,0.0,-94432.09210000001,-13773.992,-108206.08410000001
32,-10091.2198,-84331.7759,-14016.3805,232.2872,0.0,-94422.9957,-13784.093299999999,-108207.08899999999
33,-10152.4045,-84544.8454,-13903.7471,230.7767,0.0,-94697.24990000001,-13672.9704,-108370.2203
34,-10132.5716,-84059.0845,-14112.701,230.4368,0.0,-94191.6561,-13882.2642,-108073.9203
35,-10099.561,-84380.0446,-13705.942,228.8948,0.0,-94479.6056,-13477.047199999999,-107956.6528
36,-10082.4751,-84380.9281,-13804.8603,229.1827,0.0,-94463.4032,-13575.6776,-108039.0808
37,-10025.6508,-84374.9373,-14014.0376,232.5344,0.0,-94400.58810000001,-13781.5032,-108182.0913
38,-10137.5502,-84050.9992,-14049.5593,231.7276,0.0,-94188.5494,-13817.8317,-108006.38110000001
39,-10053.2149,-84654.4809,-13681.242,230.4579,0.0,-94707.6958,-13450.7841,-108158.4799
40,-10066.9771,-84454.4727,-13861.6565,232.9117,0.0,-94521.4498,-13628.744799999999,-108150.1946
41,-10030.1665,-84455.1626,-13709.6436,231.4084,0.0,-94485.3291,-13478.2352,-107963.5643
42,-10116.1739,-84231.9002,-13828.9636,227.1896,0.0,-94348.0741,-13601.774,-107949.8481
43,-10049.1143,-83829.742,-14304.9874,233.2656,0.0,-93878.8563,-14071.7218,-107950.5781
44,-10091.6763,-84101.076,-14105.0594,229.918,0.0,-94192.7523,-13875.1414,-108067.89369999999
45,-10075.0056,-84243.9501,-13973.0053,231.1882,0.0,-94318.9557,-13741.8171,-108060.7728

Ligand Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-4.3355,229.4168,-37.6643,4.7016,0.0,225.0813,-32.9627,192.11860000000001
1,-2.686,230.2575,-38.5026,4.636,0.0,227.5715,-33.8666,193.70489999999998
2,-7.1992,228.6611,-38.3659,4.743,0.0,221.4619,-33.6229,187.839
3,-9.2945,227.2001,-37.6861,4.6693,0.0,217.9056,-33.0168,184.88879999999997
4,-6.151,235.1907,-40.3524,4.633,0.0,229.03969999999998,-35.7194,193.3203
5,-3.5116,230.6314,-39.3328,4.6674,0.0,227.11980000000003,-34.6654,192.45440000000002
6,-3.9607,236.0343,-40.7268,4.6688,0.0,232.0736,-36.058,196.0156
7,-5.5181,253.5482,-38.6147,4.7302,0.0,248.0301,-33.8845,214.1456
8,-7.4454,233.8456,-39.4988,4.6616,0.0,226.40019999999998,-34.8372,191.56299999999996
9,-7.3882,229.2795,-39.2379,4.6191,0.0,221.8913,-34.6188,187.2725
10,-5.0641,231.9805,-38.8716,4.7027,0.0,226.9164,-34.1689,192.7475
11,-7.2387,229.3695,-37.8767,4.6736,0.0,222.1308,-33.2031,188.9277
12,-8.1962,232.375,-38.0537,4.6924,0.0,224.1788,-33.3613,190.8175
13,-8.0347,235.3721,-37.1259,4.6222,0.0,227.3374,-32.5037,194.8337
14,-8.5096,240.2319,-37.9201,4.6848,0.0,231.7223,-33.235299999999995,198.487
15,-8.8531,233.7675,-39.3155,4.6548,0.0,224.9144,-34.6607,190.2537
16,-9.9919,241.1084,-40.1407,4.6004,0.0,231.1165,-35.5403,195.5762
17,-6.4796,236.0395,-38.2603,4.6374,0.0,229.5599,-33.6229,195.937
18,-7.7773,231.9566,-37.7678,4.7248,0.0,224.1793,-33.043,191.1363
19,-7.1252,232.8574,-36.9097,4.7,0.0,225.7322,-32.2097,193.52249999999998
20,-8.1206,234.4176,-40.093,4.695,0.0,226.297,-35.398,190.899
21,-9.4909,239.6324,-40.5576,4.6858,0.0,230.14149999999998,-35.8718,194.26969999999997
22,-6.4269,234.1414,-38.6999,4.6746,0.0,227.71450000000002,-34.0253,193.68920000000003
23,-4.6818,234.4647,-37.4926,4.6317,0.0,229.78289999999998,-32.8609,196.92199999999997
24,-2.3891,232.7594,-39.879,4.6071,0.0,230.3703,-35.271899999999995,195.0984
25,-8.7807,235.2214,-39.7242,4.6487,0.0,226.4407,-35.075500000000005,191.3652
26,-7.9521,243.7568,-38.1861,4.6876,0.0,235.8047,-33.49850000000001,202.3062
27,-5.09,242.6031,-38.3415,4.6623,0.0,237.5131,-33.6792,203.8339
